word	why
HOUR	Xuxen rejects it
HOUSE	Xuxen rejects it
HOW	Xuxen rejects it
HOY	Xuxen rejects it
HUG	Xuxen rejects it
HUNGRY	Xuxen rejects it
HUNTER	Xuxen rejects it
HURT	Xuxen rejects it
ICE	Xuxen rejects it
ICEBERG	spelled as Basque never spells
ICH	Xuxen rejects it
IDEA	Xuxen rejects it
IMPALA	Xuxen rejects it
INK	Xuxen rejects it
IRON	Xuxen accepts it, but no Romance language has it: English only
ISLAND	Xuxen rejects it
IVY	Xuxen rejects it
JAR	by hand: English, though Xuxen and a Romance list accept it
JEEP	spelled as Basque never spells
JERSEY	Xuxen rejects it
JOB	Xuxen rejects it
JOURNAL	Xuxen rejects it
JUDAS	Xuxen rejects it
JUDGE	Xuxen rejects it
KAGU	Xuxen rejects it
KAPA	Xuxen accepts it, but no Romance language has it: English only
KAT	Xuxen rejects it
KEEP	Xuxen rejects it
KEY	Xuxen rejects it
KILLER	Xuxen rejects it
KIND	Xuxen rejects it
KING	Xuxen rejects it
KIP	Xuxen accepts it, but no Romance language has it: English only
KISS	Xuxen rejects it
KITCHEN	Xuxen rejects it
KNIFE	Xuxen rejects it
KNOW	Xuxen rejects it
KOR	Xuxen rejects it
KULAK	Xuxen rejects it
KULTUR	Xuxen accepts it, but no Romance language has it: English only
LAKE	Xuxen rejects it
LANE	Xuxen rejects it
LANG	Xuxen rejects it
LARGE	Xuxen rejects it
LAS	Xuxen rejects it
LATTE	Xuxen rejects it
LAUGH	Xuxen rejects it
LAW	Xuxen rejects it
LAY	Xuxen rejects it
LAZY	Xuxen rejects it
LEAD	Xuxen accepts it, but no Romance language has it: English only
LEAN	Xuxen rejects it
LEAVE	Xuxen rejects it
LEECH	Xuxen rejects it
LEEK	Xuxen rejects it
LEFT	Xuxen rejects it
LEG	Xuxen rejects it
LEMON	Xuxen accepts it, but no Romance language has it: English only
LET	Xuxen rejects it
LEX	Xuxen rejects it
LIAR	Xuxen rejects it
LIFE	Xuxen rejects it
LIGHT	by hand: English, though Xuxen and a Romance list accept it
LIGHTNING	Xuxen rejects it
LIKE	Xuxen rejects it
LION	Xuxen rejects it
LIP	Xuxen rejects it
LIQUID	Xuxen rejects it
LISTEN	by hand: English, though Xuxen and a Romance list accept it
LITTLE	Xuxen rejects it
LIVE	Xuxen rejects it
LOAN	by hand: English, though Xuxen and a Romance list accept it
LOBO	Xuxen rejects it
LOIN	Xuxen rejects it
LONG	Xuxen rejects it
LOOK	spelled as Basque never spells
LOVE	Xuxen rejects it
LUCE	Xuxen rejects it
LUCIFER	Xuxen rejects it
LUCK	Xuxen rejects it
LUNA	Xuxen rejects it
LUTZ	Xuxen rejects it
LYNCH	Xuxen rejects it
MAC	Xuxen rejects it
MAIN	Xuxen rejects it
MAKE	Xuxen rejects it
MAMBA	Xuxen rejects it
MAN	by hand: English, though Xuxen and a Romance list accept it
MANTLE	Xuxen rejects it
MAR	Xuxen rejects it
MARKET	Xuxen rejects it
MARS	Xuxen rejects it
MAS	Xuxen rejects it
MASS	Xuxen rejects it
MASSA	Xuxen rejects it
MATCH	spelled as Basque never spells
MATIN	Xuxen rejects it
MATRIX	Xuxen rejects it
MATS	Xuxen rejects it
MAY	Xuxen rejects it
MAYA	Xuxen rejects it
MAYO	Xuxen rejects it
MEAN	by hand: English, though Xuxen and a Romance list accept it
MED	Xuxen rejects it
MEET	Xuxen rejects it
MEL	Xuxen rejects it
MEME	Xuxen rejects it
MERCURY	Xuxen rejects it
MERDE	Xuxen rejects it
MERLIN	Xuxen rejects it
